TotNumActis,TotIntScore,TotDuration,LastSleep,StreeLevel,NextDayType,OccLevel
3,2,150,435,6,Weekend,Relax
3,1.2,450,285,8,Weekend,Neutral
7,5.4,690,495,5,Holiday,Busy
5,4.1,690,375,4,Exam/study day,Neutral
2,0.5,180,540,6,Exam/study day,Relax
6,3.5,600,555,7,Weekend,Busy
6,4.9,570,450,8,Workday,Busy
7,5.2,570,630,9,Holiday,Busy
5,4.5,450,390,7,Workday,Busy
3,1.5,390,630,7,Weekend,Relax
1,0.9,60,465,7,Weekend,Relax
1,1,60,540,7,Workday,Relax
1,0.9,90,540,7,Workday,Relax
3,2.9,720,675,9,Weekend,Busy
6,3.6,690,660,6,Weekend,Neutral
5,3,660,240,4,Workday,Neutral
5,4.4,1080,165,5,Workday,Neutral
6,4.7,510,480,5,Weekend,Busy
3,2.3,600,210,6,Workday,Neutral
3,2.9,360,495,7,Workday,Relax
5,4,570,480,4,Workday,Neutral
8,5.4,780,495,6,Workday,Busy
5,3.3,330,450,7,Workday,Neutral
1,0.2,60,420,5,Workday,Relax
6,3.8,450,630,4,Exam/study day,Busy
3,1.6,240,525,5,Workday,Relax
6,4.7,450,135,4,Workday,Busy
4,3.4,570,360,7,Weekend,Neutral
6,3.7,720,495,5,Workday,Busy
5,3.8,510,420,5,Holiday,Relax
5,3.3,540,450,7,Weekend,Relax
3,2.4,240,540,7,Weekend,Relax
2,1.9,240,435,6,Holiday,Relax
3,1.8,270,615,8,Workday,Relax
1,0.9,120,525,4,Workday,Relax
3,2,270,480,9,Holiday,Relax
3,2.5,270,390,6,Weekend,Relax
5,4.1,600,450,5,Holiday,Neutral
5,3.2,330,540,7,Holiday,Relax
1,1,120,705,6,Exam/study day,Relax
2,0.7,240,315,9,Workday,Busy
8,6.2,870,375,4,Weekend,Busy
5,4.3,540,525,6,Workday,Neutral
3,2.5,630,570,6,Workday,Relax
3,2.6,300,345,6,Workday,Neutral
5,3.1,510,555,5,Workday,Neutral
3,2.7,360,540,3,Exam/study day,Relax
5,3.1,570,510,6,Holiday,Neutral
8,5.7,690,435,6,Workday,Busy
6,3.9,480,450,8,Workday,Busy
3,2.5,240,435,6,Workday,Relax
4,4,240,570,6,Workday,Neutral
5,4.1,630,435,6,Holiday,Neutral
6,3.7,330,435,6,Workday,Busy
3,2.1,750,630,9,Workday,Neutral
1,0.3,180,615,7,Workday,Relax
2,1.2,180,645,6,Workday,Relax
4,3,390,555,5,Holiday,Relax
5,2.9,480,345,6,Holiday,Neutral
5,2.7,420,360,7,Weekend,Relax
4,2.9,720,480,7,Workday,Neutral
10,7.6,960,570,10,Workday,Busy
5,3.2,540,585,5,Holiday,Neutral
4,3,420,495,6,Workday,Neutral
5,3.3,630,645,6,Workday,Neutral
5,3.5,720,375,5,Weekend,Neutral
5,3.3,570,405,6,Workday,Neutral
3,1.8,360,435,6,Holiday,Relax
2,0.9,300,420,6,Weekend,Relax
4,2.4,480,420,5,Weekend,Relax
5,2.8,540,360,4,Holiday,Neutral
3,2.6,240,435,5,Holiday,Relax
6,4.6,390,195,4,Workday,Busy
2,2,210,480,5,Workday,Relax
3,2,420,630,7,Exam/study day,Relax
6,4.2,630,450,6,Workday,Busy
3,1.9,510,495,10,Workday,Neutral
5,4.6,420,495,6,Workday,Neutral
4,3,1020,630,6,Workday,Busy
7,5.4,810,525,6,Workday,Busy
3,1.4,300,555,7,Workday,Relax
2,1,180,435,6,Exam/study day,Relax
5,3.4,630,600,6,Weekend,Neutral
6,3.8,690,390,6,Workday,Busy
6,5,720,450,5,Workday,Busy
7,5.3,570,525,7,Holiday,Busy
1,0.9,150,435,6,Workday,Relax
3,2.5,300,585,5,Weekend,Relax
5,4,780,570,5,Weekend,Neutral
7,4.7,750,390,4,Exam/study day,Busy
7,6.7,570,405,5,Weekend,Busy
5,4.1,780,270,2,Exam/study day,Busy
7,6.5,870,570,5,Holiday,Busy
5,4.6,690,435,4,Weekend,Neutral
4,3.5,810,450,5,Workday,Busy
4,2.8,840,420,5,Exam/study day,Busy
5,2.5,990,375,6,Workday,Busy
5,4.1,540,450,7,Holiday,Neutral
7,4,630,405,6,Weekend,Busy
7,4.5,660,480,4,Workday,Busy
4,3.4,450,405,8,Holiday,Neutral
8,6.9,630,465,7,Weekend,Busy
3,1.5,570,630,6,Holiday,Relax
3,2.6,360,435,6,Workday,Relax
3,2.3,180,645,6,Workday,Relax
4,2.7,510,285,5,Exam/study day,Busy
1,0.7,90,480,6,Workday,Relax
7,3.9,660,480,9,Weekend,Busy
6,5.4,630,645,7,Holiday,Busy
1,0.9,120,615,5,Workday,Relax
3,1,540,465,4,Workday,Relax
4,2.8,420,540,8,Holiday,Neutral
3,1.8,300,660,8,Workday,Relax
6,5.3,690,525,7,Workday,Busy
4,3.9,540,645,7,Workday,Neutral
7,5.5,810,630,4,Weekend,Busy
5,3.6,690,465,7,Workday,Neutral
6,3.4,330,495,5,Holiday,Busy
6,3.9,660,390,4,Exam/study day,Busy
6,4.3,570,450,6,Exam/study day,Busy
4,3.7,240,570,1,Workday,Relax
5,4,540,480,7,Weekend,Neutral
6,4.6,750,420,5,Holiday,Busy
3,2.2,480,375,7,Holiday,Relax
4,2.5,480,405,6,Weekend,Neutral
5,4.4,600,375,7,Workday,Neutral
1,0.1,120,405,6,Workday,Relax
5,2.3,720,435,9,Weekend,Neutral
4,3.4,600,240,6,Exam/study day,Busy
6,3.4,510,570,6,Workday,Busy
4,3,360,450,5,Exam/study day,Neutral
6,3.7,540,480,7,Weekend,Busy
5,3.8,540,495,5,Holiday,Neutral
3,1.9,240,375,7,Exam/study day,Relax
6,4.1,540,345,4,Holiday,Busy
5,4.2,660,390,5,Workday,Neutral
2,1.2,180,690,6,Holiday,Relax
4,2.8,360,360,4,Holiday,Relax
5,2.9,510,450,5,Weekend,Neutral
7,4,600,585,7,Workday,Busy
1,1,90,480,6,Workday,Relax
9,7.1,900,165,5,Workday,Busy
4,2.7,780,585,7,Weekend,Neutral
8,3.6,870,435,6,Weekend,Neutral
5,4.4,660,390,6,Exam/study day,Neutral
6,4.8,750,435,8,Exam/study day,Busy
5,3.5,750,480,7,Holiday,Neutral
5,2.9,510,225,5,Workday,Neutral
3,1.6,480,495,2,Weekend,Relax
5,3.5,570,495,6,Workday,Neutral
6,5.6,540,405,7,Exam/study day,Busy
6,4.6,630,450,7,Weekend,Busy
6,5,390,390,5,Weekend,Busy
5,4.3,570,180,6,Workday,Busy
6,5.4,540,480,8,Weekend,Busy
4,2.9,690,450,5,Holiday,Relax
5,3.1,810,570,5,Weekend,Neutral
4,3,600,405,6,Workday,Neutral
4,3.4,360,450,6,Workday,Neutral
4,3,330,510,10,Exam/study day,Busy
4,2.1,330,315,6,Workday,Neutral
4,2.3,360,435,8,Workday,Neutral
5,3.3,930,510,6,Holiday,Neutral
4,3.3,870,420,6,Holiday,Neutral
8,5.6,750,435,5,Exam/study day,Busy
5,2.6,630,480,5,Workday,Neutral
3,1.7,240,450,7,Weekend,Relax
4,2.2,600,585,5,Weekend,Neutral
4,1.6,630,570,4,Workday,Relax
6,2.2,450,570,5,Weekend,Busy
6,3.9,630,450,7,Holiday,Busy
6,3.8,450,390,6,Workday,Busy
5,3.6,930,495,5,Workday,Busy
3,2.8,390,450,5,Workday,Relax
3,1.4,360,465,4,Exam/study day,Relax
6,4.2,660,495,6,Weekend,Busy
5,2.3,450,630,7,Workday,Relax
6,4.8,510,555,6,Workday,Busy
5,3.3,510,375,6,Holiday,Neutral
5,3.4,780,600,3,Exam/study day,Neutral
4,3.4,420,510,5,Workday,Neutral
6,3.5,660,435,4,Exam/study day,Busy
5,3.3,480,525,4,Workday,Neutral
4,1.4,360,465,8,Workday,Neutral
4,3.1,600,480,7,Holiday,Neutral
2,1.9,180,480,7,Workday,Relax
4,3.5,630,375,4,Weekend,Neutral
2,1.2,480,435,6,Holiday,Relax
9,5.4,780,450,8,Weekend,Busy
3,1.7,390,285,6,Workday,Neutral
6,4.4,540,525,8,Workday,Busy
6,5.4,420,435,9,Workday,Relax
5,2.5,600,465,2,Workday,Neutral
5,2.5,690,630,6,Weekend,Neutral
3,2,360,570,6,Holiday,Relax
4,3.6,420,420,5,Workday,Neutral
4,2.9,510,450,6,Holiday,Neutral
3,1.3,630,480,5,Exam/study day,Relax
5,3.7,630,360,5,Workday,Neutral
4,2.2,720,555,3,Workday,Relax
7,5,750,435,7,Workday,Busy
6,4.6,630,360,10,Holiday,Busy
3,1.9,270,510,3,Weekend,Relax
3,2.1,240,465,7,Holiday,Relax
3,2.1,300,195,6,Weekend,Neutral
4,3.4,390,480,3,Weekend,Relax
5,3.8,720,540,4,Weekend,Neutral
3,2.3,300,210,6,Workday,Busy
3,2.7,360,495,4,Weekend,Relax
6,2.8,420,420,5,Weekend,Neutral
4,2.4,960,450,5,Holiday,Relax
5,4.6,630,315,9,Holiday,Busy
3,2,300,480,6,Weekend,Relax
3,1.5,540,630,5,Exam/study day,Relax
4,2.2,360,420,8,Workday,Neutral
4,3.1,480,300,9,Exam/study day,Busy
3,1.8,390,570,7,Holiday,Relax
5,3.4,480,630,4,Holiday,Neutral
5,4.4,540,465,8,Workday,Busy
5,3.3,480,600,6,Holiday,Neutral
3,1.9,300,600,7,Workday,Relax
6,4.3,480,525,7,Workday,Busy
3,2.6,330,555,6,Workday,Relax
4,2.3,420,390,7,Workday,Neutral
6,3.7,720,570,7,Holiday,Busy
1,0.9,510,450,6,Holiday,Relax
4,3.7,480,420,6,Exam/study day,Neutral
6,5.5,510,480,4,Weekend,Busy
6,5,750,570,6,Holiday,Busy
5,3.6,630,450,8,Weekend,Neutral
6,4.3,570,330,5,Workday,Busy
7,5.4,630,420,7,Workday,Busy
6,4.4,630,420,7,Exam/study day,Busy
6,3.8,600,510,5,Weekend,Busy
2,1.5,150,645,7,Holiday,Relax
5,3.5,750,480,6,Exam/study day,Neutral
5,3.1,390,420,9,Exam/study day,Busy
5,3.3,390,510,6,Exam/study day,Neutral
6,4.9,570,375,7,Exam/study day,Busy
1,1,120,300,7,Workday,Relax
6,3.8,660,495,6,Holiday,Busy
5,3.8,840,435,5,Holiday,Neutral
3,2.5,240,450,6,Exam/study day,Relax
3,1,210,315,6,Workday,Relax
5,3.2,390,465,5,Holiday,Neutral
4,2,420,495,7,Weekend,Relax
6,3.8,420,690,5,Holiday,Neutral
4,3.9,390,180,7,Workday,Busy
6,4.6,570,465,5,Holiday,Busy
10,7.2,930,465,6,Workday,Busy
4,1.3,450,495,8,Workday,Neutral
3,1.8,240,570,6,Exam/study day,Relax
6,4.2,540,465,6,Workday,Busy
5,2.6,420,480,5,Workday,Neutral
8,4.5,840,465,6,Weekend,Neutral
5,3.6,420,555,4,Workday,Neutral
10,5.6,960,600,6,Workday,Neutral
5,4.6,600,435,6,Workday,Busy
5,3.5,450,525,5,Holiday,Neutral
3,2,360,495,5,Weekend,Relax
4,2.3,420,435,5,Workday,Neutral
1,1,90,555,5,Holiday,Relax
3,2.5,600,510,6,Holiday,Relax
5,4.1,510,465,7,Workday,Neutral
1,0.5,120,480,8,Workday,Relax
4,3.6,510,630,8,Weekend,Neutral
6,4.1,600,495,6,Holiday,Busy
5,4.7,480,495,8,Workday,Busy
5,3.3,660,435,6,Holiday,Neutral
3,2.6,210,540,10,Holiday,Relax
4,2.1,360,585,4,Workday,Neutral
5,3.4,870,420,7,Workday,Busy
10,6.3,810,435,6,Workday,Busy
3,2.2,210,510,6,Workday,Relax
3,2.2,360,420,7,Holiday,Relax
3,2.8,270,330,7,Workday,Neutral
6,4,630,420,7,Holiday,Busy
4,2.5,660,510,5,Workday,Neutral
2,1.3,240,465,6,Workday,Relax
4,2.2,330,480,6,Holiday,Relax
3,2.6,510,495,4,Exam/study day,Relax
6,3.9,630,480,7,Weekend,Busy
3,2.4,270,645,6,Exam/study day,Relax
1,1,60,555,6,Exam/study day,Relax
5,2.3,630,645,6,Weekend,Neutral
6,2.8,450,510,8,Workday,Busy
4,3,750,555,7,Workday,Neutral
5,3.9,240,525,6,Holiday,Neutral
4,2.1,420,630,5,Workday,Neutral
5,4.2,750,435,9,Exam/study day,Busy
7,5.6,660,435,6,Workday,Busy
6,4.5,540,150,8,Weekend,Busy
1,0.9,150,315,6,Workday,Relax
5,4,540,645,7,Workday,Neutral
4,3.3,330,465,8,Weekend,Neutral
7,5.1,810,375,4,Workday,Busy
3,2,360,360,5,Workday,Relax
3,1.8,300,465,5,Weekend,Relax
2,2,750,495,4,Holiday,Relax
4,2,870,570,5,Weekend,Neutral
3,2,540,480,8,Holiday,Relax
5,4.4,510,435,5,Exam/study day,Neutral
6,3.8,600,510,4,Holiday,Busy
5,4,540,390,8,Holiday,Neutral
6,4.4,570,435,6,Weekend,Busy
4,3.7,480,375,6,Holiday,Neutral
6,4.1,630,510,7,Exam/study day,Busy
4,3,450,480,7,Weekend,Neutral
6,5.1,510,450,5,Holiday,Busy
5,3,690,405,5,Weekend,Neutral
3,2.7,480,570,6,Workday,Relax
2,1.7,180,450,7,Workday,Relax
1,1,120,615,8,Workday,Relax
2,1.5,150,420,5,Workday,Relax
4,3.3,540,495,7,Workday,Neutral
3,3,330,525,6,Workday,Relax
1,1,120,390,8,Exam/study day,Neutral
6,4,450,390,5,Workday,Busy
4,3.6,900,540,5,Workday,Busy
5,3,810,345,3,Workday,Neutral
4,3.5,660,465,8,Holiday,Neutral
4,3.1,420,345,5,Holiday,Neutral
4,3.7,390,645,5,Weekend,Neutral
4,3.2,330,570,5,Exam/study day,Neutral
6,5,690,405,8,Weekend,Busy
4,2.3,690,570,4,Weekend,Neutral
6,4.3,450,525,5,Weekend,Busy
1,0.9,210,360,7,Holiday,Busy
6,4.6,540,420,5,Exam/study day,Busy
3,2.9,270,495,6,Workday,Relax
5,4.6,330,510,6,Workday,Neutral
1,0.9,240,435,2,Workday,Relax
5,4.6,720,375,6,Workday,Busy
1,0.6,60,465,5,Holiday,Relax
7,5.2,720,540,5,Workday,Busy
6,3.6,630,465,9,Weekend,Busy
6,5.7,600,390,7,Workday,Busy
7,3.5,540,420,6,Workday,Busy
3,2.1,510,540,5,Holiday,Relax
3,0.6,300,465,2,Weekend,Relax
3,2.5,300,540,7,Workday,Relax
5,4.1,480,390,5,Weekend,Neutral
6,4.7,600,510,6,Exam/study day,Busy
10,8.1,690,555,6,Weekend,Busy
5,3.5,450,585,7,Workday,Neutral
5,3.9,510,420,4,Exam/study day,Neutral
6,4.2,540,615,4,Workday,Busy
4,2.2,510,480,7,Exam/study day,Neutral
3,1.5,300,420,4,Weekend,Relax
3,2.3,360,210,6,Weekend,Relax
3,2.1,300,495,3,Weekend,Relax
6,3.5,720,630,5,Holiday,Busy
3,2.8,240,480,5,Workday,Relax
3,2.4,240,420,7,Exam/study day,Relax
6,4.5,690,435,7,Workday,Busy
4,3.8,780,465,5,Workday,Neutral
9,7.5,810,690,6,Exam/study day,Neutral
3,0.4,210,450,6,Holiday,Relax
5,3.3,570,450,4,Weekend,Neutral
4,2,450,465,5,Weekend,Neutral
6,4.3,360,405,7,Weekend,Busy
4,2.7,360,420,4,Workday,Relax
4,3.5,660,555,5,Holiday,Neutral
4,2.4,330,600,5,Weekend,Relax
7,3.9,600,435,1,Workday,Relax
1,0.8,90,465,7,Exam/study day,Relax
5,3.2,390,600,6,Holiday,Neutral
6,3.6,540,510,6,Weekend,Neutral
1,0.7,120,450,6,Exam/study day,Relax
4,2,240,645,7,Workday,Relax
4,3.6,300,585,6,Exam/study day,Neutral
6,3.9,600,465,6,Workday,Busy
5,3.6,660,390,4,Workday,Neutral
5,2.2,450,570,6,Exam/study day,Neutral
4,2.1,360,600,2,Weekend,Relax
5,3.9,1110,510,4,Holiday,Relax
3,1.5,300,555,7,Workday,Relax
1,0.7,60,165,6,Holiday,Relax
5,3.1,480,495,7,Workday,Neutral
4,3.2,360,555,7,Workday,Neutral
4,2.7,420,420,6,Workday,Neutral
7,5.4,720,390,7,Workday,Busy
4,2.6,360,585,8,Workday,Neutral
3,1,120,540,8,Weekend,Relax
4,2.3,210,435,5,Holiday,Relax
7,5.1,570,480,8,Workday,Busy
7,4.2,480,405,6,Workday,Busy
6,3.5,660,435,5,Workday,Busy
7,5.6,630,510,6,Workday,Busy
3,1.3,300,540,6,Exam/study day,Relax
